host,stellar_r,stellar_m,inj_period,inj_rp_earth,inj_rp_rs,inj_depth_ppm,inj_impact,inj_snr,n_transits,rec_period,rec_sde,rec_depth_ppm,tls_recovered,clf_probability,clf_recovered,error
TIC 402898317,0.730261,0.7,0.7,0.8,0.010043532380888478,123.26667003736969,0.1,2.4525565586561258,37,1.0137773692017455,4.74986239831186,418.7978154022165,0,0.06665791132495658,0,
TIC 402898317,0.730261,0.7,0.7,0.8,0.010043532380888478,116.22658453047663,0.5,2.312484567758699,37,1.0137773692017455,4.499827935110579,420.56755701114224,0,0.06665791132495658,0,
TIC 402898317,0.730261,0.7,0.7,1.5,0.018831623214165892,433.33276417323316,0.1,8.621739457482379,37,0.6997126786598784,8.405137431862284,443.7676481808817,1,0.048819398760207695,0,
TIC 402898317,0.730261,0.7,0.7,1.5,0.018831623214165892,408.5914145323111,0.5,8.129476956082348,37,3.411414233731415,4.384207198983912,467.3576217980591,0,0.07094045659575664,0,
TIC 402898317,0.730261,0.7,0.7,2.5,0.031386038690276494,1203.6608498426915,0.1,23.94845509158601,37,0.6997126786598784,21.296161048993614,1373.6669931809774,1,0.1595258799916676,0,
TIC 402898317,0.730261,0.7,0.7,2.5,0.031386038690276494,1134.7898889721985,0.5,22.578174489922397,37,0.6997126786598784,18.814341241476534,1203.106758826844,1,0.06049467332680166,0,
TIC 402898317,0.730261,0.7,0.7,4.0,0.050217661904442386,3080.783252838226,0.1,61.29633558086479,37,0.6997126786598784,23.988643107207754,2965.149211110907,1,0.11484859534960258,0,
TIC 402898317,0.730261,0.7,0.7,4.0,0.050217661904442386,2904.368920516376,0.5,57.78633464025589,37,0.6997126786598784,24.173321647245125,2731.908949110906,1,0.052507191085496153,0,
TIC 402898317,0.730261,0.7,0.7,6.0,0.07532649285666357,6929.604084125463,0.1,137.87381406717546,37,0.6997126786598784,30.188717149703585,6480.642473513875,1,0.13588834071037006,0,
TIC 402898317,0.730261,0.7,0.7,6.0,0.07532649285666357,6530.715387800256,0.5,129.93738576867761,37,0.6997126786598784,28.599396399200963,6422.050919957845,1,0.06962050364235872,0,
TIC 402898317,0.730261,0.7,0.7,9.0,0.11298973928499537,15580.510910014556,0.1,309.99526642510165,37,0.6997126786598784,36.92234826458352,15177.010406643876,1,0.42047217116237945,0,
TIC 402898317,0.730261,0.7,0.7,9.0,0.11298973928499537,14673.09794289018,0.5,291.9410622898247,37,0.6997126786598784,34.44273462135616,14158.842903397084,1,0.1288348825755317,0,
TIC 402898317,0.730261,0.7,0.7,13.0,0.16320740118943775,32459.97558120739,0.1,645.8349688636288,37,0.6997126786598784,39.82417983557077,32153.27802933621,1,0.2896148857015545,0,
TIC 402898317,0.730261,0.7,0.7,13.0,0.16320740118943775,30524.439042445283,0.5,607.3248604034874,37,0.6997126786598784,39.40421034358339,29060.02433480548,1,0.15052314182410156,0,
TIC 402898317,0.730261,0.7,1.0504989940769753,0.8,0.010043532380888478,123.26652660188398,0.1,2.137421528278294,24,1.0137773692017455,4.402129537875399,412.86001764651024,0,0.0674503026178071,0,
TIC 402898317,0.730261,0.7,1.0504989940769753,0.8,0.010043532380888478,116.22640792841032,0.5,2.0153470151956268,24,1.0137773692017455,4.767113346649246,420.16263639810256,0,0.06665791132495658,0,
TIC 402898317,0.730261,0.7,1.0504989940769753,1.5,0.018831623214165892,433.34957514129525,0.1,7.51421117079728,24,1.0498777552901768,4.897471251225723,424.36929584011017,0,0.07852897890498561,0,
TIC 402898317,0.730261,0.7,1.0504989940769753,1.5,0.018831623214165892,408.5982379066211,0.5,7.085027007687583,24,1.052430210062521,5.7349557373711315,448.3391558713912,0,0.05744906774845638,0,
TIC 402898317,0.730261,0.7,1.0504989940769753,2.5,0.031386038690276494,1203.6727369083567,0.1,20.871489542159736,24,1.0511529496803231,16.05086340615899,1293.8912940184678,1,0.13894068526545014,0,
TIC 402898317,0.730261,0.7,1.0504989940769753,2.5,0.031386038690276494,1134.8627073235473,0.5,19.678334817592443,24,1.0511529496803231,16.991388098889697,1122.8580274067479,1,0.07366241321345063,0,
TIC 402898317,0.730261,0.7,1.0504989940769753,4.0,0.050217661904442386,3080.914556058856,0.1,53.42255744882418,24,1.0498777552901768,19.6627753384136,3004.979323616541,1,0.07607655829687221,0,
TIC 402898317,0.730261,0.7,1.0504989940769753,4.0,0.050217661904442386,2904.368462429807,0.5,50.36127689149243,24,1.0511529496803231,20.073008483602575,2682.959180134614,1,0.11070472143951506,0,
TIC 402898317,0.730261,0.7,1.0504989940769753,6.0,0.07532649285666357,6929.8141623140855,0.1,120.1618507945494,24,1.0511529496803231,25.477700948250654,6831.303162561752,1,0.12395297865267393,0,
TIC 402898317,0.730261,0.7,1.0504989940769753,6.0,0.07532649285666357,6530.71579281772,0.5,113.24154996042773,24,1.0498777552901768,25.5289246249701,6199.117062119952,1,0.11222946276586467,0,
TIC 402898317,0.730261,0.7,1.0504989940769753,9.0,0.11298973928499537,15580.624239541208,0.1,270.1654909216937,24,1.0498777552901768,30.843360320042017,14935.88355901343,1,0.22019915960828584,0,
TIC 402898317,0.730261,0.7,1.0504989940769753,9.0,0.11298973928499537,14673.094022652933,0.5,254.42906452424197,24,1.0498777552901768,30.737680763634195,14154.236632804574,1,0.12223361757380433,0,
TIC 402898317,0.730261,0.7,1.0504989940769753,13.0,0.16320740118943775,32460.57223123089,0.1,562.8610444370634,24,1.0498777552901768,33.56312994067237,31049.600665692844,1,0.15429192725814095,0,
TIC 402898317,0.730261,0.7,1.0504989940769753,13.0,0.16320740118943775,30527.109588374013,0.5,529.335116588773,24,1.0498777552901768,31.80608294616992,27397.503592200166,1,0.12038724150643722,0,
TIC 402898317,0.730261,0.7,1.576497337938196,0.8,0.010043532380888478,123.26654288208339,0.1,1.8645445933753317,16,1.0137773692017455,4.928755065050847,425.2002099834895,0,0.06749251199717067,0,
TIC 402898317,0.730261,0.7,1.576497337938196,0.8,0.010043532380888478,116.22658375087802,0.5,1.7580573225493064,16,1.0137773692017455,4.6392572474319245,410.75250980360244,0,0.0674503026178071,0,
TIC 402898317,0.730261,0.7,1.576497337938196,1.5,0.018831623214165892,433.3495649677666,0.1,6.554897780942332,16,0.5064269833541477,4.885676820955029,310.95973391992436,0,0.04507066135387804,0,
TIC 402898317,0.730261,0.7,1.576497337938196,1.5,0.018831623214165892,408.59749415056433,0.5,6.180494972702579,16,1.575912252100644,8.630637620314463,671.343513411804,1,0.11857705714986458,0,
TIC 402898317,0.730261,0.7,1.576497337938196,2.5,0.031386038690276494,1203.6727986499684,0.1,18.206899913325618,16,1.575912252100644,16.417212700435755,1147.875020477529,1,0.08240320977349432,0,
