tic_id,toi,disposition,label,probability,physics_score,sde,welch_p,duration_ratio,density_ratio,period_days
309792357,199.01,CP,1,0.9224234718754396,4,9.89893866213817,6.058373225458849e-28,0.784339480151972,2.080518277876942,11.191896740601065
421308357,1479.01,FP,0,0.8384652638053498,4,8.961291243626302,0.006799887238987,0.4908801729695721,8.487060355579741,5.562856726792958
63013648,5547.01,FP,0,0.8292244112323528,4,31.93483609637729,1.0063817251127734e-84,0.4487368357206078,11.109860352253888,9.816179975953355
299158887,1554.01,KP,1,0.8021579570502843,4,72.10423925812714,0.0024730156122796,0.4401809939369717,11.770364263296486,9.434368309809004
113921235,6982.01,CP,1,0.7815856586137027,4,7.081912342247126,2.0761489902988336e-22,0.7378642558062848,2.498931469803458,14.810015878717897
458876004,3677.01,FP,0,0.7202382342847683,4,21.230251696981977,0.0042000572185297,0.6745793775571487,3.2702773210625113,3.6917757440049424
151724385,5795.01,CP,1,0.6569010428739493,4,66.07633407766996,0.0055402597375432,0.4674521798543407,9.828159489151954,6.140794984812252
437261733,1910.01,KP,1,0.4549247952415697,5,75.60283467605062,0.1160890638615302,0.4516071798059757,10.899366339722851,5.416089999281705
120757718,1236.01,KP,1,0.4527241326391815,5,166.49391775837964,0.0686708695451554,0.5753494821039622,5.270946207361708,3.0301563903159177
178709444,762.01,CP,1,0.3764460209189804,5,103.15198489786178,0.6170558519972921,0.4550831944460238,10.651514666942088,3.4717428213841957
382474101,349.01,FP,0,0.3658535753536848,5,34.164433986510154,5.194760049840397e-05,1.3152655092918322,0.4412080917261442,2.6527388097070226
366622912,515.01,CP,1,0.350844207047249,5,75.47792445139505,0.1503434849862886,0.5722571290848782,5.356857927150342,3.1148877261226313
137683938,4587.01,KP,1,0.3240644665308989,5,19.450718203081543,0.563891880661825,0.4870597544762931,8.6883443866514,3.290452071007395
58046864,3343.01,FP,0,0.3178651897058908,5,28.77340085979602,0.1265495447488767,0.4139585418490623,14.15185004484031,2.364401137411704
35377903,6693.01,FP,0,0.2835389121775628,5,22.401781270782273,0.1201745256968507,0.7115766805194383,2.786240765819399,2.993691293984966
158324245,1161.01,KP,1,0.25400430681772,5,96.21715444784635,0.616859822994012,0.7688515785371511,2.20879918043384,1.7636652646797792
457138169,1770.01,FP,0,0.2400784146288347,5,47.32243181391998,0.8757945571412235,0.4447753212338625,11.409371397715413,1.0924399612115712
134537478,501.01,KP,1,0.2249885529530477,5,83.24616920759445,0.2647112750340242,0.4515423111820211,10.904064427512347,1.710023329126776
441738827,2084.01,CP,1,0.2244826654821977,5,13.040065567071162,0.993024727142631,0.784552077815999,2.078827401676678,6.078357353856369
38087018,5138.01,KP,1,0.2020393995365774,5,78.36772358797687,0.959771791761054,0.4435954449424166,11.500653785984577,1.7292620590665022
281909674,534.01,KP,1,0.1825378627949838,5,21.82723129904584,0.9225679200873684,0.4460596410805769,11.311103381136554,4.035203193517082
101011575,560.01,CP,1,0.1697622232353668,5,53.30680056116757,0.0873509757083384,0.4011786047699729,15.547854675007132,6.398040040717469
199444169,1410.01,CP,1,0.1565305489880092,5,106.66817493163862,0.0879554330462359,0.4060246005827181,14.997771071197656,1.2168676591317893
274002141,6368.01,FP,0,0.1515482770950069,5,16.665048225245,0.9684594831258716,0.8144505794241693,1.858187583335796,1.619531938628305
463681005,3060.01,FP,0,0.133104829563925,5,16.894892492168307,0.7107427060568775,0.4675613070393972,9.821279520298429,1.6405862872867656
452006073,3071.01,CP,1,0.1232360969457552,5,81.81305230565326,0.0249077121174334,0.435894614331782,12.121022407742856,1.2669398952427111
234825296,536.01,KP,1,0.1210247330651916,5,7.231848941385044,0.5775978951719,0.4416571765381247,11.652735490455695,9.24323345251518
